player_id,player,nationality,squad,birth_year,value,height,position,foot,league,games,games_starts,minutes,goals_2018,goals_2019,pens_2018,pens_2019,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,Nabil Bentaleb,dz ALG,Schalke 04,1994,18000000,187,midfield - Central Midfield,left,Bundesliga,16,12,1011,4,3,4,4,3,1,0.36,0.27,0.62,0,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Nick Pope,eng ENG,Burnley,1992,10000000,198,Goalkeeper,right,Premier League,35,34,3115,0,0,0,0,3,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1379,Jamaal Lascelles,eng ENG,Newcastle Utd,1993,15000000,188,Defender - Centre-Back,right,Premier League,33,32,2928,3,0,0,0,5,0,0.09,0,0.09,0.09,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2430,Charlie Taylor,eng ENG,Burnley,1993,5000000,176,Defender - Left-Back,left,Premier League,11,10,950,0,0,0,0,3,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2575,Sam Vokes,wal WAL,Burnley,1989,6000000,186,attack - Centre-Forward,right,Premier League,30,7,998,4,1,0,0,3,0,0.36,0.09,0.45,0.36,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2597,Jonathan Walters,ie IRL,Burnley,1983,2000000,183,attack - Right Winger,right,Premier League,3,0,39,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2601,Stephen Ward,ie IRL,Burnley,1985,3000000,184,Defender - Left-Back,left,Premier League,28,28,2460,1,1,0,0,1,0,0.04,0.04,0.07,0.04,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2610,Nahki Wells,bm BER,Burnley,1990,4500000,170,attack - Centre-Forward,right,Premier League,9,0,55,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2615,Ashley Westwood,eng ENG,Burnley,1990,4000000,174,midfield - Defensive Midfield,right,Premier League,19,12,1111,0,1,0,0,2,0,0,0.08,0.08,0,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2632,Chris Wood,nz NZL,Burnley,1991,18000000,191,attack - Centre-Forward,right,Premier League,24,20,1624,10,1,0,0,1,0,0.55,0.06,0.61,0.55,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1435,Marcos Llorente,es ESP,Real Madrid,1995,12000000,184,attack - Second Striker,right,La Liga,13,5,554,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1542,Marcelo,br BRA,Real Madrid,1988,60000000,174,Defender - Left-Back,left,La Liga,28,26,2262,2,6,0,0,3,1,0.08,0.24,0.32,0.08,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1603,Borja Mayoral,es ESP,Real Madrid,1997,7500000,182,attack - Centre-Forward,right,La Liga,14,3,349,3,1,0,0,0,0,0.77,0.26,1.03,0.77,1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1785,Keylor Navas,cr CRC,Real Madrid,1986,18000000,185,Goalkeeper,right,La Liga,27,27,2430,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,Florentin Pogba,gn GUI,Saint-Ã‰tienne,1990,1500000,189,Defender - Centre-Back,left,Ligue 1,5,4,321,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2137,Cristiano Ronaldo,pt POR,Real Madrid,1985,100000000,187,attack - Left Winger,both,La Liga,27,27,2288,26,5,3,4,1,0,1.02,0.2,1.22,0.9,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Joachim Andersen,dk DEN,Sampdoria,1996,1500000,192,Defender - Centre-Back,right,Serie A,7,6,546,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
